product_id,product_name,category,price
1,Mind Business,Electronics,236.65
2,Bill Easy,Electronics,861.04
3,Very Note,Electronics,519.01
4,Central Important,Home,672.29
5,Long Hospital,Clothing,543.84
6,Religious Situation,Toys,580.45
7,Same Young,Clothing,786.77
8,Now Kind,Books,198.51
9,People Situation,Electronics,662.39
10,Short Clear,Home,429.34
11,Value Join,Books,865.2
12,Real Bit,Electronics,676.63
13,These Might,Electronics,70.01
14,Power Involve,Home,802.59
15,Wrong Far,Electronics,256.17
16,Alone Road,Clothing,540.92
17,Hospital Director,Clothing,427.66
18,Life Light,Home,468.0
19,Eat Top,Electronics,448.7
20,Him Bit,Toys,106.93
21,Rich Hold,Toys,837.67
22,Off Week,Electronics,927.1
23,Quite Her,Clothing,174.65
24,Ask Information,Books,486.54
25,Fact Customer,Books,903.42
26,Can Thus,Clothing,385.18
27,Than Look,Books,272.55
28,Benefit Recognize,Books,292.4
29,Difference Quality,Toys,665.25
30,Purpose Picture,Books,163.25
31,Against Apply,Home,225.52
32,Stop Goal,Electronics,583.39
33,Either Car,Toys,70.35
34,Stop Other,Home,66.59
35,Describe Authority,Toys,482.02
36,Themselves Southern,Toys,165.86
37,Once Despite,Toys,89.31
38,Peace Direction,Clothing,77.84
39,Tax True,Electronics,678.46
40,Early Get,Clothing,409.74
41,Staff Choose,Toys,253.75
42,Story Wear,Toys,49.34
43,Pick Able,Electronics,425.03
44,Factor Town,Toys,569.57
45,Check Case,Home,935.36
46,Now Enough,Clothing,673.03
47,Success Contain,Home,246.3
48,Break Recent,Books,139.57
49,Trial Agree,Home,462.65
50,Catch Administration,Electronics,19.22
